classification_path,name,is_group,total_printed,table_column,printed_page,india_persons,india_males,india_females
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Unclassed Chin Languages Sub-Group > Matu,Matu,0,1,380,482,154,82,72
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Unclassed Chin Languages Sub-Group > Ngorn,Ngorn,0,1,383,482,5808,2727,3081
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Unclassed Chin Languages Sub-Group > Rongtu,Rongtu,0,1,386,482,13048,6429,6619
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Unclassed Chin Languages Sub-Group > Saingbaung,Saingbaung,0,1,389,482,8031,4273,3758
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Unclassed Chin Languages Sub-Group > Shentang,Shentang,0,1,392,482,7324,3615,3709
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Unclassed Chin Languages Sub-Group > Sittu,Sittu,0,1,395,482,4282,2343,1939
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Unclassed Chin Languages Sub-Group > Taman,Taman,0,1,398,482,9228,4614,4614
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Unclassed Chin Languages Sub-Group > Yo,Yo,0,1,401,482,1365,674,691
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Unclassed Chin Languages Sub-Group > Yotun,Yotun,0,1,404,482,8985,4406,4579
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Other or unspecified Chin Sub-Group,Other or unspecified Chin Sub-Group,0,1,407,482,121136,60268,60868
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kuki-Chin Group > Other or unspecified Kuki Sub-Group,Other or unspecified Kuki Sub-Group,0,1,410,482,9932,4961,4971
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kachin Group,Kachin Group,1,0,,,156980,75728,81252
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Kachin Group > Kachin,Kachin,0,1,413,482,156980,75728,81252
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Burma Group,Burma Group,1,1,416,483,9960394,4881329,5079065
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Burma Group > Burmese,Burmese,0,1,419,483,8853538,4331535,4522003
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Burma Group > Arakanese,Arakanese,0,1,422,483,308544,156097,152447
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Burma Group > Taungyo,Taungyo,0,1,425,483,22261,11046,11215
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Burma Group > Intha,Intha,0,1,428,483,56829,28001,28828
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Burma Group > Danu,Danu,0,1,431,483,60966,31090,29876
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Burma Group > Maru,Maru,0,1,434,483,17447,8393,9054
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Burma Group > Tavoyan,Tavoyan,0,1,437,483,159174,78692,80482
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Burma Group > Chaungtha,Chaungtha,0,1,440,483,34626,17346,17280
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Burma Group > Maingtha,Maingtha,0,1,443,483,487,319,168
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Burma Group > Atsi,Atsi,0,1,446,483,5295,2485,2810
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Burma Group > Yaw,Yaw,0,1,449,483,877,484,393
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Burma Group > Merguese,Merguese,0,1,452,483,101144,51134,50010
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Burma Group > Yanbye,Yanbye,0,1,455,483,326642,158597,168045
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Burma Group > Lashi,Lashi,0,1,458,483,12564,6110,6454
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Lolo-Muhso Group,Lolo-Muhso Group,1,1,461,483,93731,48302,45429
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Lolo-Muhso Group > Lahu,Lahu,0,1,464,483,26864,13666,13198
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Lolo-Muhso Group > Lisaw,Lisaw,0,1,467,483,19698,9885,9813
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Lolo-Muhso Group > Hpun,Hpun,0,1,470,484,679,343,336
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Lolo-Muhso Group > Nung,Nung,0,1,473,484,101,65,36
